Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Authenticity check: QID1152,Authenticity check: QID1153,Authenticity check: QID1322913324,Authenticity check: QID444,Authenticity check: QID447,Authenticity check: Bots
APPROVED,Not Applicable,2026-05-12T15:50:13.933000Z,2026-05-12T16:11:27.298000Z,2026-05-13T14:31:18.406000Z,2026-05-12T16:11:27.721468Z,1274.0,CDT15VVH,882,English,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-12T15:50:27.202000Z,2026-05-12T16:24:13.117000Z,2026-05-13T14:31:18.674000Z,2026-05-12T16:24:13.640068Z,2026.0,CDT15VVH,747,English,25,Female,Other,Mexico,United States,Mexico,Spanish,No,Part-Time,Pass,Pass,N/A,Pass,Pass,high
APPROVED,Not Applicable,2026-05-12T15:54:31.216000Z,2026-05-12T16:17:09.633000Z,2026-05-13T14:31:18.946000Z,2026-05-12T16:17:10.049025Z,1359.0,CDT15VVH,1186,English,56,Female,White,United States,United States,United States,English,No,Part-Time,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-12T16:00:24.251000Z,2026-05-12T16:39:50.885000Z,2026-05-13T14:31:19.211000Z,2026-05-12T16:39:51.313663Z,2367.0,CDT15VVH,54,English,44,Female,Mixed,United States,United States,United States,English,No,Other,Pass,Pass,N/A,Pass,Pass,high
APPROVED,Not Applicable,2026-05-12T16:06:39.500000Z,2026-05-12T16:23:27.074000Z,2026-05-13T14:31:19.482000Z,2026-05-12T16:23:28.129442Z,1008.0,CDT15VVH,348,English,46,Female,White,United States,United States,United States,English,No,Full-Time,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-12T16:20:19.255000Z,2026-05-12T16:42:24.813000Z,2026-05-13T14:31:20.287000Z,2026-05-12T16:42:25.184724Z,1326.0,CDT15VVH,1174,"Chinese, English",29,Female,Asian,Taiwan,United States,Taiwan,Chinese,Yes,Full-Time,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-12T16:36:09.308000Z,2026-05-12T16:53:12.295000Z,2026-05-13T14:31:20.514000Z,2026-05-12T16:53:12.781454Z,1023.0,CDT15VVH,94,English,37,Male,Prefer not to say,United States,United States,United States,English,No,Full-Time,Pass,Pass,Pass,Pass,Pass,high
APPROVED,Not Applicable,2026-05-12T16:52:12.739000Z,2026-05-12T17:08:27.927000Z,2026-05-13T14:31:20.752000Z,2026-05-12T17:08:28.542411Z,976.0,CDT15VVH,441,English,29,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-12T16:52:37.762000Z,2026-05-12T17:48:51.311000Z,2026-05-13T14:31:21.006000Z,2026-05-12T17:48:51.898434Z,3374.0,CDT15VVH,498,English,35,Female,White,United States,United States,United States,English,Yes,Part-Time,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-12T18:16:40.712000Z,2026-05-12T18:38:35.760000Z,2026-05-13T14:31:21.274000Z,2026-05-12T18:38:36.256919Z,1316.0,CDT15VVH,11,English,42,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),Pass,Pass,N/A,Pass,N/A,high
RETURNED,Not Applicable,,,,,,,2768,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A
RETURNED,Not Applicable,2026-05-12T16:19:37.277000Z,,,,,,3833,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A
