Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Authenticity check: QID1086,Authenticity check: QID1150,Authenticity check: QID1152,Authenticity check: QID1153,Authenticity check: QID1322913324,Authenticity check: QID444,Authenticity check: QID447,Authenticity check: Bots
AWAITING REVIEW,Not Applicable,2026-05-18T20:35:46.605000Z,2026-05-18T20:54:50.121000Z,,2026-05-18T20:54:50.538961Z,1144,CDT15VVH,1049,English,42,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:35:52.004000Z,2026-05-18T21:02:31.655000Z,,2026-05-18T21:02:32.172087Z,1600,CDT15VVH,845,English,38,Female,Asian,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:35:54.388000Z,2026-05-18T21:13:06.758000Z,,2026-05-18T21:13:07.197019Z,2233,CDT15VVH,2740,English,31,Male,Black,United States,United States,United States,English,Yes,Part-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
RETURNED,Not Applicable,2026-05-18T20:35:54.615000Z,,,,,,113,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AWAITING REVIEW,Not Applicable,2026-05-18T20:35:55.178000Z,2026-05-18T20:55:30.828000Z,,2026-05-18T20:55:31.269919Z,1176,CDT15VVH,5689,English,44,Female,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:35:55.579000Z,2026-05-18T20:59:09.904000Z,,2026-05-18T20:59:10.339890Z,1395,CDT15VVH,1039,English,25,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:35:56.147000Z,2026-05-18T21:09:47.053000Z,,2026-05-18T21:09:47.483877Z,2031,CDT15VVH,95,English,31,Female,White,United States,United States,DATA_EXPIRED,English,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,mixed
AWAITING REVIEW,Not Applicable,2026-05-18T20:35:56.482000Z,2026-05-18T21:11:31.317000Z,,2026-05-18T21:11:31.735886Z,2135,CDT15VVH,297,English,26,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
TIMED-OUT,Not Applicable,2026-05-18T20:35:56.552000Z,,,,61258,,237,"English, Swahili",32,Male,Black,Kenya,United States,United States,Swahili,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:35:58.466000Z,2026-05-18T21:02:40.916000Z,,2026-05-18T21:02:41.369104Z,1603,CDT15VVH,150,English,52,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:35:59.032000Z,2026-05-18T21:01:58.226000Z,,2026-05-18T21:01:58.682211Z,1560,CDT15VVH,692,English,30,Male,Black,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
RETURNED,Not Applicable,2026-05-18T20:35:59.099000Z,,,,,,70,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:00.379000Z,2026-05-18T20:56:54.976000Z,,2026-05-18T20:56:55.473060Z,1255,CDT15VVH,841,"English, Spanish",26,Female,White,United States,United States,United States,English,Yes,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:02.146000Z,2026-05-18T21:01:44.678000Z,,2026-05-18T21:01:45.191057Z,1543,CDT15VVH,23,"Armenian, English",20,Female,Other,United States,United States,Armenia,Armenian,Yes,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:02.188000Z,2026-05-18T21:08:48.434000Z,,2026-05-18T21:08:48.864188Z,1967,CDT15VVH,263,English,26,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:02.528000Z,2026-05-18T21:06:40.177000Z,,2026-05-18T21:06:40.638502Z,1838,CDT15VVH,945,English,28,Female,Black,United States,United States,United States,English,Yes,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:03.531000Z,2026-05-18T20:54:03.285000Z,,2026-05-18T20:54:03.739113Z,1080,CDT15VVH,398,English,25,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:04.186000Z,2026-05-18T21:05:18.648000Z,,2026-05-18T21:05:19.114711Z,1755,CDT15VVH,81,"English, Spanish",34,Female,Other,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:04.675000Z,2026-05-18T20:56:40.280000Z,,2026-05-18T20:57:00.434819Z,1236,CDT15VVH,3,English,24,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AWAITING REVIEW,Not Applicable,2026-05-18T20:36:04.932000Z,2026-05-18T20:57:06.323000Z,,2026-05-18T20:57:06.835895Z,1262,CDT15VVH,2892,English,30,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
