Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Authenticity check: QID1086,Authenticity check: QID1150,Authenticity check: QID1152,Authenticity check: QID1153,Authenticity check: QID1322913324,Authenticity check: QID444,Authenticity check: QID447,Authenticity check: Bots
APPROVED,Not Applicable,2026-05-12T15:50:13.933000Z,2026-05-12T16:11:27.298000Z,2026-05-13T14:31:18.406000Z,2026-05-12T16:11:27.721468Z,1274.0,CDT15VVH,882,English,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-12T15:50:27.202000Z,2026-05-12T16:24:13.117000Z,2026-05-13T14:31:18.674000Z,2026-05-12T16:24:13.640068Z,2026.0,CDT15VVH,747,English,25,Female,Other,Mexico,United States,Mexico,Spanish,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
APPROVED,Not Applicable,2026-05-12T15:54:31.216000Z,2026-05-12T16:17:09.633000Z,2026-05-13T14:31:18.946000Z,2026-05-12T16:17:10.049025Z,1359.0,CDT15VVH,1186,English,56,Female,White,United States,United States,United States,English,No,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
RETURNED,Not Applicable,,,,2026-05-13T15:12:02.548419Z,,,2768,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPROVED,Not Applicable,2026-05-12T16:00:24.251000Z,2026-05-12T16:39:50.885000Z,2026-05-13T14:31:19.211000Z,2026-05-12T16:39:51.313663Z,2367.0,CDT15VVH,54,English,44,Female,Mixed,United States,United States,United States,English,No,Other,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
APPROVED,Not Applicable,2026-05-12T16:06:39.500000Z,2026-05-12T16:23:27.074000Z,2026-05-13T14:31:19.482000Z,2026-05-12T16:23:28.129442Z,1008.0,CDT15VVH,348,English,46,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
RETURNED,Not Applicable,2026-05-12T16:19:37.277000Z,,,2026-05-13T15:12:02.547160Z,,,3833,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPROVED,Not Applicable,2026-05-12T16:20:19.255000Z,2026-05-12T16:42:24.813000Z,2026-05-13T14:31:20.287000Z,2026-05-12T16:42:25.184724Z,1326.0,CDT15VVH,1174,"Chinese, English",29,Female,Asian,Taiwan,United States,Taiwan,Chinese,Yes,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-12T16:36:09.308000Z,2026-05-12T16:53:12.295000Z,2026-05-13T14:31:20.514000Z,2026-05-12T16:53:12.781454Z,1023.0,CDT15VVH,94,English,37,Male,Prefer not to say,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
APPROVED,Not Applicable,2026-05-12T16:52:12.739000Z,2026-05-12T17:08:27.927000Z,2026-05-13T14:31:20.752000Z,2026-05-12T17:08:28.542411Z,976.0,CDT15VVH,441,English,29,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-12T16:52:37.762000Z,2026-05-12T17:48:51.311000Z,2026-05-13T14:31:21.006000Z,2026-05-12T17:48:51.898434Z,3374.0,CDT15VVH,498,English,35,Female,White,United States,United States,United States,English,Yes,Part-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-12T18:16:40.712000Z,2026-05-12T18:38:35.760000Z,2026-05-13T14:31:21.274000Z,2026-05-12T18:38:36.256919Z,1316.0,CDT15VVH,11,English,42,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:17.928000Z,2026-05-15T18:06:36.867000Z,2026-05-18T14:02:42.838000Z,2026-05-15T18:06:37.265793Z,1579.0,CDT15VVH,2475,English,28,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:16.540000Z,2026-05-15T18:04:50.967000Z,2026-05-18T14:02:43.175000Z,2026-05-15T18:04:51.380731Z,1475.0,CDT15VVH,7871,English,37,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
APPROVED,Not Applicable,2026-05-15T17:40:17.406000Z,2026-05-15T18:08:54.732000Z,2026-05-18T14:02:43.459000Z,2026-05-15T18:08:55.154902Z,1718.0,CDT15VVH,68,"Hebrew, English",50,Female,White,Georgia,United States,Israel,Russian,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:18.091000Z,2026-05-15T18:11:41.771000Z,2026-05-18T14:02:43.762000Z,2026-05-15T18:11:42.215703Z,1884.0,CDT15VVH,757,"English, Mandarin",33,Female,Asian,Taiwan,United States,Taiwan,Mandarin,No,Other,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:24.904000Z,2026-05-15T18:07:24.890000Z,2026-05-18T14:02:44.087000Z,2026-05-16T23:40:44.830523Z,1620.0,CDT15VVH,4251,"English, French, Italian, Spanish",42,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
APPROVED,Not Applicable,2026-05-15T17:40:26.082000Z,2026-05-15T18:13:14.370000Z,2026-05-18T14:02:44.411000Z,2026-05-15T18:13:14.756505Z,1969.0,CDT15VVH,1503,English,30,Male,Black,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
RETURNED,Not Applicable,2026-05-15T17:40:22.965000Z,,,2026-05-18T13:27:56.999142Z,,,1359,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPROVED,Not Applicable,2026-05-15T17:40:26.798000Z,2026-05-15T18:11:04.768000Z,2026-05-18T14:02:44.721000Z,2026-05-15T18:11:05.181350Z,1838.0,CDT15VVH,529,English,28,Male,Black,United States,United States,United States,English,Yes,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:24.396000Z,2026-05-15T18:00:09.589000Z,2026-05-18T14:02:45.025000Z,2026-05-15T18:00:10.035306Z,1186.0,CDT15VVH,422,English,20,Female,Black,United States,United States,United States,English,Yes,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,Pass,high
APPROVED,Not Applicable,2026-05-15T17:40:33.280000Z,2026-05-15T18:08:17.075000Z,2026-05-18T14:02:45.340000Z,2026-05-15T18:08:17.486912Z,1664.0,CDT15VVH,87,English,50,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
TIMED-OUT,Not Applicable,2026-05-15T17:40:26.187000Z,,,2026-05-18T13:27:57.001766Z,244051.0,,3527,English,28,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RETURNED,Not Applicable,2026-05-15T17:40:24.617000Z,,,2026-05-18T13:27:57.002409Z,,,25,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
APPROVED,Not Applicable,2026-05-15T17:40:25.411000Z,2026-05-15T17:58:18.386000Z,2026-05-18T14:02:45.721000Z,2026-05-15T17:58:18.816346Z,1073.0,CDT15VVH,95,English,35,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:24.777000Z,2026-05-15T17:58:26.481000Z,2026-05-18T14:02:46.062000Z,2026-05-15T17:58:26.902612Z,1082.0,CDT15VVH,1357,English,46,Male,Black,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:55.194000Z,2026-05-15T18:10:12.930000Z,2026-05-18T14:02:46.358000Z,2026-05-15T18:10:13.488119Z,1758.0,CDT15VVH,2815,"English, Vietnamese",27,Female,Asian,United States,United States,United States,Vietnamese,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:45:56.225000Z,2026-05-15T18:40:08.542000Z,2026-05-18T14:02:46.668000Z,2026-05-15T18:40:08.962638Z,3253.0,CDT15VVH,81,English,41,Female,Black,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,Pass,Pass,N/A,high
APPROVED,Not Applicable,2026-05-15T17:40:23.660000Z,2026-05-15T18:12:55.110000Z,2026-05-18T14:02:46.965000Z,2026-05-15T18:12:55.561240Z,1952.0,CDT15VVH,9087,"English, Spanish",33,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,Pass,N/A,Pass,Pass,high
