StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_DuplicateRespondent,consent,timing_consent_First Click,timing_consent_Last Click,timing_consent_Page Submit,timing_consent_Click Count,consent_2,timing_consent_2_First Click,timing_consent_2_Last Click,timing_consent_2_Page Submit,timing_consent_2_Click Count,relevance1_1_1,timing_relevance1_First Click,timing_relevance1_Last Click,timing_relevance1_Page Submit,timing_relevance1_Click Count,relevance2_1_1,timing_relevance2_First Click,timing_relevance2_Last Click,timing_relevance2_Page Submit,timing_relevance2_Click Count,relevance3_1_1,timing_relevance3_First Click,timing_relevance3_Last Click,timing_relevance3_Page Submit,timing_relevance3_Click Count,action1_1_1,timing_action1_First Click,timing_action1_Last Click,timing_action1_Page Submit,timing_action1_Click Count,action2_1_1,timing_action2_First Click,timing_action2_Last Click,timing_action2_Page Submit,timing_action2_Click Count,action3_1_1,timing_action3_First Click,timing_action3_Last Click,timing_action3_Page Submit,timing_action3_Click Count,control_1_1,timing_control_1_First Click,timing_control_1_Last Click,timing_control_1_Page Submit,timing_control_1_Click Count,origcontrol1_1_1,timing_origcontrol1_First Click,timing_origcontrol1_Last Click,timing_origcontrol1_Page Submit,timing_origcontrol1_Click Count,origcontrol2_1_1,timing_origcontrol2_First Click,timing_origcontrol2_Last Click,timing_origcontrol2_Page Submit,timing_origcontrol2_Click Count,rate_1_1,timing_rate_1_First Click,timing_rate_1_Last Click,timing_rate_1_Page Submit,timing_rate_1_Click Count,rate_2_1,timing_rate_2_First Click,timing_rate_2_Last Click,timing_rate_2_Page Submit,timing_rate_2_Click Count,rate_3_1,rate_3_2,rate_3_DO_1,rate_3_DO_2,timing_rate_3_First Click,timing_rate_3_Last Click,timing_rate_3_Page Submit,timing_rate_3_Click Count,govtfund_1,timing_govtfund_1_First Click,timing_govtfund_1_Last Click,timing_govtfund_1_Page Submit,timing_govtfund_1_Click Count,govtfund_2,timing_govtfund_2_First Click,timing_govtfund_2_Last Click,timing_govtfund_2_Page Submit,timing_govtfund_2_Click Count,2_behavint_1,2_timing_behavint_1_First Click,2_timing_behavint_1_Last Click,2_timing_behavint_1_Page Submit,2_timing_behavint_1_Click Count,3_behavint_1,3_timing_behavint_1_First Click,3_timing_behavint_1_Last Click,3_timing_behavint_1_Page Submit,3_timing_behavint_1_Click Count,4_behavint_1,4_timing_behavint_1_First Click,4_timing_behavint_1_Last Click,4_timing_behavint_1_Page Submit,4_timing_behavint_1_Click Count,attention_1,timing_attention_1_First Click,timing_attention_1_Last Click,timing_attention_1_Page Submit,timing_attention_1_Click Count,timing_warning_1_First Click,timing_warning_1_Last Click,timing_warning_1_Page Submit,timing_warning_1_Click Count,timing_climate_0_First Click,timing_climate_0_Last Click,timing_climate_0_Page Submit,timing_climate_0_Click Count,climate_1,timing_climate_1_First Click,timing_climate_1_Last Click,timing_climate_1_Page Submit,timing_climate_1_Click Count,climate_2,timing_climate_2_First Click,timing_climate_2_Last Click,timing_climate_2_Page Submit,timing_climate_2_Click Count,climate_3_1,climate_3_2,climate_3_3,timing_climate_3_First Click,timing_climate_3_Last Click,timing_climate_3_Page Submit,timing_climate_3_Click Count,timing_demo_0_First Click,timing_demo_0_Last Click,timing_demo_0_Page Submit,timing_demo_0_Click Count,gender,gender_8_TEXT,gender_DO_1,gender_DO_4,gender_DO_5,gender_DO_6,gender_DO_7,gender_DO_2,gender_DO_8,gender_DO_3,LGBTQ,LGBTQ_DO_1,LGBTQ_DO_5,LGBTQ_DO_4,timing_demo_2_First Click,timing_demo_2_Last Click,timing_demo_2_Page Submit,timing_demo_2_Click Count,race_1,race_2,race_3,race_4,race_5,race_6,race_7,race_8,race_9,race_DO_1,race_DO_2,race_DO_3,race_DO_4,race_DO_5,race_DO_6,race_DO_7,race_DO_8,race_DO_9,race_self,timing_demo_3_First Click,timing_demo_3_Last Click,timing_demo_3_Page Submit,timing_demo_3_Click Count,ses_subjective_1,ses_subjective_2,ses_subjective_3,ses_subjective_4,ses_subjective_5,ses_subjective_6,ses_subjective_7,ses_subjective_8,ses_subjective_9,ses_subjective_10,timing_demo_4_First Click,timing_demo_4_Last Click,timing_demo_4_Page Submit,timing_demo_4_Click Count,univ_affiliate_1,univ_affiliate_2,univ_affiliate_3,univ_affiliate_4,univ_affiliate_5,univ_affiliate_6,univ_affiliate_6_TEXT,ses_degree,timing_demo_5_First Click,timing_demo_5_Last Click,timing_demo_5_Page Submit,timing_demo_5_Click Count,ses_income_household,timing_demo_6_First Click,timing_demo_6_Last Click,timing_demo_6_Page Submit,timing_demo_6_Click Count,politics_ideology,end_feedback,timing_end_First Click,timing_end_Last Click,timing_end_Page Submit,timing_end_Click Count,condition,activeweek,PROLIFIC_PID,tasktime,worktimeArray,offTask,onTask,totalOffTask,totalOnTask,perPagePT,pageNo,STUDY_ID,SESSION_ID,testing,variant_seen,Create New Field or Choose From Dropdown...,FL_41_DO_FL_49,FL_41_DO_FL_47,FL_41_DO_FL_45,FL_41_DO_FL_71,FL_70_DO_UnivNews_Step2Relevance1,FL_70_DO_UnivNews_Step2Relevance2,FL_70_DO_UnivNews_Step2Relevance3,FL_69_DO_UnivNews_Step2Action1,FL_69_DO_UnivNews_Step2Action2,FL_69_DO_UnivNews_Step2Action3,FL_75_DO_UnivNews_Step2OrigControl1,FL_75_DO_UnivNews_Step2OrigControl2,UnivNews_Step2ArticleRate_DO_rate_2,UnivNews_Step2ArticleRate_DO_rate_1,UnivNews_Step2ArticleRate_DO_timing_rate_2,UnivNews_Step2ArticleRate_DO_rate_3,UnivNews_Step2ArticleRate_DO_timing_rate_1,UnivNews_Step2ArticleRate_DO_timing_rate_3,UnivNews_Step2BehaviorIntentions_DO_behavint_1,UnivNews_Step2BehaviorIntentions_DO_timing_behavint_1
2026-06-03T18:38:39Z,2026-06-03T18:40:52Z,0,100,132,1,2026-06-03T18:40:53Z,R_7UcpRdpRNFWXILn,anonymous,EN,1,TRUE,4,7.396,7.396,8.334,1,1,2.556,2.556,3.743,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,48,NA,NA,NA,NA,4,4,1,2,NA,NA,NA,NA,4,5.297,5.297,6.09,1,4,1.312,1.312,1.912,1,4,0.482,0.482,1.289,1,4,0.379,0.379,0.901,1,4,1.145,1.145,2.237,1,4,0.786,2.376,3.109,2,NA,NA,NA,NA,0,0,4.46,0,2,1.189,1.189,2.061,1,4,0.878,1.226,2.087,2,5,5,5,0.48,3.383,4.963,4,0,0,1.762,0,1,NA,1,4,6,5,2,3,8,7,4,2,3,1,4.539,7.338,8.323,2,NA,NA,NA,NA,NA,NA,NA,1,NA,5,3,2,7,6,1,4,8,9,NA,0.868,0.868,2.156,1,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,0.863,0.863,1.579,1,NA,NA,NA,NA,1,NA,NA,9,0.849,0.849,1.88,1,4,0.663,0.663,2.354,1,4,NA,0,0,1.51,0,relevance,NA,NA,119.969,"8.338,3.747,3.973,15.732,19.419,3.603,9.958,6.094,1.917,1.279,2.241,1.006,1.293,3.113,4.464,2.065,2.091,4.969,1.766,8.331,2.16,1.734,1.888,1.885,2.36,3.029,1.514",NA,"8.338,3.747,3.973,15.732,19.419,3.603,9.958,6.094,1.917,1.279,2.241,1.006,1.293,3.113,4.464,2.065,2.091,4.969,1.766,8.331,2.16,1.734,1.888,1.885,2.36,3.029,1.514",0,2128.158,"8.338,PAGE BREAK,3.747,PAGE BREAK,3.973,PAGE BREAK,15.732,PAGE BREAK,19.419,PAGE BREAK,3.603,PAGE BREAK,9.958,PAGE BREAK,6.094,PAGE BREAK,1.917,PAGE BREAK,1.279,PAGE BREAK,2.241,PAGE BREAK,1.006,PAGE BREAK,1.293,PAGE BREAK,3.113,PAGE BREAK,4.464,PAGE BREAK,2.065,PAGE BREAK,2.091,PAGE BREAK,4.969,PAGE BREAK,1.766,PAGE BREAK,8.331,PAGE BREAK,2.16,PAGE BREAK,1.734,PAGE BREAK,1.888,PAGE BREAK,1.885,PAGE BREAK,2.36,PAGE BREAK,3.029,PAGE BREAK,1.514,PAGE BREAK",NA,NA,NA,NA,relevance2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,6,3,5,4,2,1
2026-06-03T18:41:18Z,2026-06-03T18:43:51Z,0,100,152,1,2026-06-03T18:43:52Z,R_6RWIH5vl4M66NkO,anonymous,EN,1,TRUE,4,13.014,13.014,14.369,1,1,8.22,8.22,9.272,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,28,NA,NA,NA,NA,5,5,1,2,NA,NA,NA,NA,5,0.829,0.829,1.719,1,6,0.646,0.646,1.638,1,6,0.5,0.5,1.372,1,6,0.409,0.409,1.201,1,6,0.457,0.457,1.134,1,4,0.574,0.574,1.556,1,NA,NA,NA,NA,0,0,0.974,0,2,2.571,2.571,5.969,1,1,2.027,2.027,3.447,1,4,4,4,0.869,1.826,3.143,3,0,0,0.93,0,6,NA,2,5,1,3,4,6,8,7,5,3,2,1,4.441,5.949,7.075,2,NA,NA,1,NA,NA,NA,NA,NA,NA,2,4,5,6,1,3,7,8,9,NA,7.35,7.35,8.831,1,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,1.547,1.547,2.922,1,NA,1,1,NA,NA,NA,NA,7,0.891,1.782,2.909,2,10,1.765,1.765,2.859,1,6,test test test,2.498,2.498,7.273,1,NA,NA,NA,49.971,"14.372,9.278,3.224,-6.736,0.489,4.37,2.481,-11.505,0.523,-21.44,2.323,4.666,1.723,1.641,0.759,1.375,1.137,1.204,1.559,0.976,5.972,3.451,3.147,0.932,7.08,0.729,-6.169,1.937,3.045,2.727,2.913,2.863,1.649,7.276","-6.736,-11.505,-21.44,-6.169","14.372,9.278,3.224,0.489,4.37,2.481,0.523,2.323,4.666,1.723,1.641,0.759,1.375,1.137,1.204,1.559,0.976,5.972,3.451,3.147,0.932,7.08,0.729,1.937,3.045,2.727,2.913,2.863,1.649,7.276",929.637,1471.371,"14.372,PAGE BREAK,9.278,PAGE BREAK,3.224,-6.736,0.489,PAGE BREAK,4.37,PAGE BREAK,2.481,-11.505,0.523,-21.44,2.323,PAGE BREAK,4.666,PAGE BREAK,1.723,PAGE BREAK,1.641,PAGE BREAK,0.759,PAGE BREAK,1.375,PAGE BREAK,1.137,PAGE BREAK,1.204,PAGE BREAK,1.559,PAGE BREAK,0.976,PAGE BREAK,5.972,PAGE BREAK,3.451,PAGE BREAK,3.147,PAGE BREAK,0.932,PAGE BREAK,7.08,PAGE BREAK,0.729,-6.169,1.937,PAGE BREAK,3.045,PAGE BREAK,2.727,PAGE BREAK,2.913,PAGE BREAK,2.863,PAGE BREAK,1.649,PAGE BREAK,7.276,PAGE BREAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6,3,5,4,2,1
2026-06-03T18:53:51Z,2026-06-03T18:54:06Z,0,100,15,1,2026-06-03T18:54:07Z,R_59eOGYUDfU3Vl2p,anonymous,EN,1,TRUE,4,3.07,3.07,3.959,1,1,1.807,1.807,2.806,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,control,NA,NA,13.153,"3.962,2.809,1.405,4.977",NA,"3.962,2.809,1.405,4.977",0,32.062,"3.962,PAGE BREAK,2.809,PAGE BREAK,1.405,PAGE BREAK,4.977,PAGE BREAK",NA,NA,NA,NA,control,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-03T18:59:51Z,2026-06-03T19:00:09Z,0,100,18,1,2026-06-03T19:00:10Z,R_5dQYVi37D2dHzl1,anonymous,EN,1,TRUE,4,2.1,2.1,2.9,1,1,1.852,1.852,2.641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,control,NA,NA,15.19,"3.016,2.645,1.416,8.113",NA,"3.016,2.645,1.416,8.113",0,30.944,"3.016,PAGE BREAK,2.645,PAGE BREAK,1.416,PAGE BREAK,8.113,PAGE BREAK",NA,NA,NA,NA,control,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-03T19:08:35Z,2026-06-03T19:08:35Z,2,100,0,1,2026-06-03T19:08:35Z,R_8vP4C9W2LtaAeEu,test,NA,NA,NA,6,6.67,7.4,9.75,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-03T19:08:35Z,2026-06-03T19:08:35Z,2,100,0,1,2026-06-03T19:08:36Z,R_dppoyS80u84ZsXk,test,NA,NA,NA,6,8.88,9.68,9.42,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-03T19:11:03Z,2026-06-03T19:11:03Z,2,100,0,1,2026-06-03T19:11:04Z,R_1G4v0c5zd6emg98,test,NA,NA,NA,6,7.84,8.01,7.97,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-03T19:11:11Z,2026-06-03T19:11:11Z,2,100,0,1,2026-06-03T19:11:11Z,R_eWhTHSjzNTExWPc,test,NA,NA,NA,4,0.49,3.15,2.65,43,1,5.68,7.98,7.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,control,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,6,3,5,4,NA,NA
2026-06-03T19:11:12Z,2026-06-03T19:11:12Z,2,100,0,1,2026-06-03T19:11:12Z,R_4I8pBLpk3sMSGXA,test,NA,NA,NA,6,0.12,6.29,5.46,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-03T19:11:20Z,2026-06-03T19:11:20Z,2,100,0,1,2026-06-03T19:11:20Z,R_8wWNwkkquLPYh5Y,test,NA,NA,NA,6,9.78,9.85,9.84,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
