variable,label,block,r_intent1,p_intent1,se_intent1,r_intent2,p_intent2,se_intent2,r_intent3,p_intent3,se_intent3,r_intent4,p_intent4,se_intent4,r_composite,p_composite,se_composite
past_engage_4,Shared info online about cuts to research funding,Past Engagement,0.467,0,0.051,0.435,0,0.052,0.606,0,0.046,0.541,0,0.049,0.6,0,0.046
past_engage_2,Shared/commented social media posts about science,Past Engagement,0.399,0,0.053,0.416,0,0.053,0.539,0,0.049,0.506,0,0.05,0.543,0,0.049
past_engage_5,Talked to others about cuts to research funding,Past Engagement,0.43,0,0.052,0.553,0,0.048,0.457,0,0.052,0.474,0,0.051,0.542,0,0.049
past_engage_6,Contacted reps to oppose cuts to research funding,Past Engagement,0.52,0,0.05,0.282,0,0.056,0.392,0,0.053,0.547,0,0.049,0.522,0,0.05
past_engage_7,Contacted reps to support research funding,Past Engagement,0.48,0,0.051,0.225,0,0.057,0.355,0,0.054,0.551,0,0.048,0.481,0,0.051
past_engage_3,Attended rallies or protests about science,Past Engagement,0.427,0,0.052,0.265,0,0.056,0.391,0,0.053,0.524,0,0.049,0.476,0,0.051
research_4_4,I think about the impact of science on my daily life,Research Beliefs,0.394,0,0.053,0.363,0,0.054,0.374,0,0.054,0.499,0,0.05,0.461,0,0.051
govtfund_3,Knowledge of funding cuts,Govt Funding,0.392,0,0.053,0.436,0,0.052,0.314,0,0.055,0.423,0,0.053,0.438,0,0.052
past_engage_1,Conversations about science topics,Past Engagement,0.363,0,0.054,0.425,0,0.053,0.336,0,0.055,0.397,0,0.053,0.434,0,0.052
univ_5_1,Benefits: You personally,University Perceptions,0.363,0,0.054,0.391,0,0.053,0.286,0,0.056,0.408,0,0.053,0.412,0,0.053
research_3_2,Effects on: People you care about,Research Beliefs,0.32,0,0.055,0.375,0,0.054,0.326,0,0.055,0.381,0,0.054,0.394,0,0.053
univ_2_9,Univ. contributes to: Better international relations,University Perceptions,0.319,0,0.055,0.379,0,0.054,0.323,0,0.055,0.356,0,0.054,0.392,0,0.053
univ_2_7,Univ. contributes to: Increased compassion and tolerance,University Perceptions,0.329,0,0.055,0.365,0,0.054,0.325,0,0.055,0.342,0,0.055,0.386,0,0.054
research_3_1,Effects on: You personally,Research Beliefs,0.276,0,0.056,0.406,0,0.053,0.245,0,0.056,0.396,0,0.053,0.373,0,0.054
govtfund_1,Approval of federal funding for university research,Govt Funding,0.29,0,0.056,0.317,0,0.055,0.326,0,0.055,0.334,0,0.055,0.362,0,0.055
govtfund_8_1,Tax investment: ...boosts the economy,Govt Funding,0.255,0,0.056,0.347,0,0.054,0.281,0,0.056,0.391,0,0.053,0.357,0,0.054
govtfund_7_2,Priority: Advance knowledge and benefit society,Govt Funding,0.275,0,0.056,0.366,0,0.054,0.291,0,0.056,0.346,0,0.054,0.348,0,0.054
gotvfund_6_2,Oversight committees protect against unethical research,Govt Funding,0.319,0,0.055,0.314,0,0.055,0.244,0,0.056,0.36,0,0.054,0.345,0,0.054
climate_4_1,Climate research importance: Climate science and earth systems,Climate,0.239,0,0.056,0.357,0,0.054,0.278,0,0.056,0.325,0,0.055,0.343,0,0.055
research_3_3,Effects on: Local community,Research Beliefs,0.293,0,0.055,0.312,0,0.055,0.243,0,0.056,0.335,0,0.055,0.336,0,0.055
univ_5_2,Benefits: People you care about,University Perceptions,0.281,0,0.056,0.305,0,0.055,0.277,0,0.056,0.326,0,0.055,0.336,0,0.055
research_3_4,Effects on: People in the US,Research Beliefs,0.296,0,0.055,0.317,0,0.055,0.259,0,0.056,0.29,0,0.056,0.333,0,0.055
climate_3,Trust in climate scientists,Climate,0.25,0,0.056,0.356,0,0.054,0.293,0,0.055,0.298,0,0.055,0.328,0,0.055
research_1,Knowledge of university research,Research Beliefs,0.264,0,0.056,0.252,0,0.056,0.275,0,0.056,0.349,0,0.054,0.326,0,0.055
climate_4_4,"Climate research importance: Climate policy, economics, and human impact",Climate,0.245,0,0.056,0.312,0,0.055,0.271,0,0.056,0.316,0,0.055,0.324,0,0.055
govtfund_5_7,Govt funding likelihood: Taxpayer money is wasted,Govt Funding,-0.265,0,0.056,-0.289,0,0.056,-0.294,0,0.055,-0.309,0,0.055,-0.323,0,0.055
govtfund_8_2,Tax investment: ...improves health and saves lives,Govt Funding,0.225,0,0.057,0.365,0,0.054,0.274,0,0.056,0.28,0,0.056,0.319,0,0.055
highered_2_2,Trust: State public university system,Higher Education,0.259,0,0.056,0.273,0,0.056,0.222,0,0.057,0.335,0,0.055,0.312,0,0.055
