variable,label,block,r_intent1,p_intent1,r_intent2,p_intent2,r_intent3,p_intent3,r_intent4,p_intent4,r_composite,p_composite
past_engage_2,Shared/commented social media posts about science,Past Engagement,0.549,0,0.508,0,0.612,0,0.625,0,0.659,0
past_engage_4,Shared info online about cuts to research funding,Past Engagement,0.517,0,0.462,0,0.629,0,0.564,0,0.614,0
past_engage_5,Talked to others about cuts to research funding,Past Engagement,0.493,0,0.532,0,0.51,0,0.518,0,0.571,0
past_engage_6,Contacted reps to oppose cuts to research funding,Past Engagement,0.542,0,0.343,0,0.399,0,0.572,0,0.531,0
univ_5_1,Benefits: You personally,University Perceptions,0.493,0,0.39,0,0.35,0,0.544,0,0.488,0
past_engage_7,Contacted reps to support research funding,Past Engagement,0.517,0,0.263,0.005,0.376,0,0.547,0,0.487,0
research_4_4,I think about the impact of science on my daily life,Research Beliefs,0.396,0,0.373,0,0.397,0,0.517,0,0.47,0
past_engage_1,Conversations about science topics,Past Engagement,0.399,0,0.422,0,0.421,0,0.417,0,0.464,0
past_engage_3,Attended rallies or protests about science,Past Engagement,0.437,0,0.27,0.004,0.363,0,0.529,0,0.458,0
univ_2_9,Univ. contributes to: Better international relations,University Perceptions,0.309,0.001,0.448,0,0.4,0,0.407,0,0.431,0
univ_2_7,Univ. contributes to: Increased compassion and tolerance,University Perceptions,0.416,0,0.391,0,0.341,0,0.388,0,0.426,0
research_4_3,Clear how to apply research findings in my life,Research Beliefs,0.321,0.001,0.361,0,0.368,0,0.415,0,0.411,0
univ_5_2,Benefits: People you care about,University Perceptions,0.382,0,0.331,0,0.328,0,0.439,0,0.407,0
govtfund_3,Knowledge of funding cuts,Govt Funding,0.4,0,0.33,0,0.323,0,0.401,0,0.405,0
research_3_3,Effects on: Local community,Research Beliefs,0.389,0,0.317,0.001,0.273,0.003,0.429,0,0.391,0
research_5.1_9,Importance: Exploring space,Research Beliefs,0.324,0,0.326,0,0.343,0,0.405,0,0.389,0
research_3_2,Effects on: People you care about,Research Beliefs,0.31,0.001,0.369,0,0.306,0.001,0.397,0,0.382,0
govtfund_8_1,Tax investment: ...boosts the economy,Govt Funding,0.293,0.002,0.305,0.001,0.329,0,0.432,0,0.373,0
univ_2_2,Univ. contributes to: Better jobs and career advancement,University Perceptions,0.299,0.001,0.38,0,0.309,0.001,0.347,0,0.37,0
climate_4_1,Climate research importance: Climate science and earth systems,Climate,0.308,0.001,0.302,0.001,0.328,0,0.364,0,0.366,0
research_3_1,Effects on: You personally,Research Beliefs,0.328,0,0.376,0,0.218,0.02,0.429,0,0.364,0
univ_2_3,Univ. contributes to: Higher household incomes,University Perceptions,0.314,0.001,0.347,0,0.256,0.006,0.364,0,0.364,0
climate_3,Trust in climate scientists,Climate,0.332,0,0.3,0.001,0.35,0,0.328,0,0.364,0
research_3_4,Effects on: People in the US,Research Beliefs,0.36,0,0.319,0.001,0.27,0.004,0.357,0,0.358,0
univ_2_8,Univ. contributes to: Overall economic growth,University Perceptions,0.325,0,0.292,0.002,0.273,0.003,0.368,0,0.352,0
research_5.1_13,Importance: Awareness of others' experiences,Research Beliefs,0.289,0.002,0.29,0.002,0.295,0.001,0.324,0,0.348,0
highered_3_6,Contribution to science: Community colleges,Higher Education,0.371,0,0.164,0.089,0.253,0.008,0.368,0,0.338,0
univ_5_5,Benefits: Students' families,University Perceptions,0.315,0.001,0.308,0.001,0.258,0.006,0.367,0,0.338,0
govtfund_4_10,Perceived support: People who don't believe in mainstream science,Govt Funding,0.333,0,0.176,0.063,0.292,0.002,0.354,0,0.336,0
univ_5_7,Benefits: Society as a whole,University Perceptions,0.315,0.001,0.255,0.006,0.302,0.001,0.374,0,0.334,0
highered_3_4,Contribution to science: Charitable foundations,Higher Education,0.32,0.001,0.24,0.013,0.359,0,0.306,0.001,0.333,0
govtfund_7_2,Priority: Advance knowledge and benefit society,Govt Funding,0.263,0.005,0.286,0.002,0.308,0.001,0.303,0.001,0.314,0.001
