outcome,block,variable,label,moveable,direction,n_total,n_at_strongest,pct_at_strongest,pct_available,outcome_rate_strongest,outcome_rate_other,outcome_rate_overall,pct_to_gain,se_ptg,ror,ceiling_flag,small_n_flag
Contact reps to oppose cuts,Research Beliefs,research_1,Knowledge of university research,TRUE,positive,299,29,9.7,90.3,10.3,7,7.4,3,5.9,1.52,FALSE,TRUE
Talk to others about cuts,Research Beliefs,research_1,Knowledge of university research,TRUE,positive,299,29,9.7,90.3,27.6,13.7,15.1,12.5,8.6,2.4,FALSE,TRUE
Share info online about cuts,Research Beliefs,research_1,Knowledge of university research,TRUE,positive,299,29,9.7,90.3,24.1,9.6,11,13.1,8.2,2.99,FALSE,TRUE
Contact reps to support funding,Research Beliefs,research_1,Knowledge of university research,TRUE,positive,299,29,9.7,90.3,13.8,7.4,8,5.8,6.6,2,FALSE,TRUE
Contact reps to oppose cuts,Research Beliefs,research_2,Scientific methods are the best way to find truth,TRUE,positive,299,126,42.1,57.9,9.5,5.8,7.4,2.2,3,1.72,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_2,Scientific methods are the best way to find truth,TRUE,positive,299,126,42.1,57.9,22.2,9.8,15.1,7.2,4.2,2.62,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_2,Scientific methods are the best way to find truth,TRUE,positive,299,126,42.1,57.9,15.9,7.5,11,4.8,3.7,2.32,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_2,Scientific methods are the best way to find truth,TRUE,positive,299,126,42.1,57.9,9.5,6.9,8,1.5,3.1,1.41,FALSE,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_1,Effects on: You personally,TRUE,positive,299,68,22.7,77.3,16.2,4.8,7.4,8.8,4.7,3.86,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_3_1,Effects on: You personally,TRUE,positive,299,68,22.7,77.3,29.4,10.8,15.1,14.4,5.9,3.43,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_3_1,Effects on: You personally,TRUE,positive,299,68,22.7,77.3,19.1,8.7,11,8.1,5.1,2.49,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_3_1,Effects on: You personally,TRUE,positive,299,68,22.7,77.3,17.6,5.2,8,9.6,4.9,3.91,FALSE,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_2,Effects on: People you care about,TRUE,positive,299,66,22.1,77.9,15.2,5.2,7.4,7.8,4.7,3.29,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_3_2,Effects on: People you care about,TRUE,positive,299,66,22.1,77.9,37.9,8.6,15.1,22.8,6.3,6.49,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_3_2,Effects on: People you care about,TRUE,positive,299,66,22.1,77.9,30.3,5.6,11,19.3,5.9,7.36,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_3_2,Effects on: People you care about,TRUE,positive,299,66,22.1,77.9,19.7,4.7,8,11.7,5.1,4.95,FALSE,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_3,Effects on: Local community,TRUE,positive,299,60,20.1,79.9,13.3,5.9,7.4,6,4.6,2.47,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_3_3,Effects on: Local community,TRUE,positive,299,60,20.1,79.9,31.7,10.9,15.1,16.6,6.4,3.8,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_3_3,Effects on: Local community,TRUE,positive,299,60,20.1,79.9,23.3,7.9,11,12.3,5.8,3.52,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_3_3,Effects on: Local community,TRUE,positive,299,60,20.1,79.9,15,6.3,8,7,4.9,2.64,FALSE,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_4,Effects on: People in the US,TRUE,positive,299,94,31.4,68.6,13.8,4.4,7.4,6.5,3.9,3.5,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_3_4,Effects on: People in the US,TRUE,positive,299,94,31.4,68.6,27.7,9.3,15.1,12.6,5.1,3.74,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_3_4,Effects on: People in the US,TRUE,positive,299,94,31.4,68.6,20.2,6.8,11,9.2,4.5,3.46,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_3_4,Effects on: People in the US,TRUE,positive,299,94,31.4,68.6,12.8,5.9,8,4.7,3.8,2.35,FALSE,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_5,Effects on: Students at universities,TRUE,positive,299,128,42.8,57.2,14.1,2.3,7.4,6.7,3.4,6.83,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_3_5,Effects on: Students at universities,TRUE,positive,299,128,42.8,57.2,26.6,6.4,15.1,11.5,4.4,5.26,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_3_5,Effects on: Students at universities,TRUE,positive,299,128,42.8,57.2,17.2,6.4,11,6.2,3.8,3.02,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_3_5,Effects on: Students at universities,TRUE,positive,299,128,42.8,57.2,13.3,4.1,8,5.3,3.4,3.59,FALSE,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_6,Effects on: Scientists at universities,TRUE,positive,299,175,58.5,41.5,10.3,3.2,7.4,2.9,2.7,3.44,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_3_6,Effects on: Scientists at universities,TRUE,positive,299,175,58.5,41.5,22.3,4.8,15.1,7.2,3.8,5.64,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_3_6,Effects on: Scientists at universities,TRUE,positive,299,175,58.5,41.5,14.9,5.6,11,3.8,3.2,2.92,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_3_6,Effects on: Scientists at universities,TRUE,positive,299,175,58.5,41.5,12,2.4,8,4,2.9,5.5,FALSE,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_7,Effects on: Universities themselves,TRUE,positive,299,172,57.5,42.5,9.9,3.9,7.4,2.5,2.7,2.68,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_3_7,Effects on: Universities themselves,TRUE,positive,299,172,57.5,42.5,20.3,7.9,15.1,5.3,3.7,2.99,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_3_7,Effects on: Universities themselves,TRUE,positive,299,172,57.5,42.5,12.8,8.7,11,1.8,3.1,1.55,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_3_7,Effects on: Universities themselves,TRUE,positive,299,172,57.5,42.5,10.5,4.7,8,2.4,2.8,2.36,FALSE,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_8,Effects on: Pharmaceutical companies,TRUE,positive,299,119,39.8,60.2,9.2,6.1,7.4,1.9,3.1,1.56,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_3_8,Effects on: Pharmaceutical companies,TRUE,positive,299,119,39.8,60.2,22.7,10,15.1,7.6,4.4,2.64,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_3_8,Effects on: Pharmaceutical companies,TRUE,positive,299,119,39.8,60.2,14.3,8.9,11,3.2,3.7,1.71,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_3_8,Effects on: Pharmaceutical companies,TRUE,positive,299,119,39.8,60.2,9.2,7.2,8,1.2,3.1,1.31,FALSE,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_9,Effects on: Technology companies,TRUE,positive,299,126,42.1,57.9,7.9,6.9,7.4,0.6,2.8,1.16,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_3_9,Effects on: Technology companies,TRUE,positive,299,126,42.1,57.9,22.2,9.8,15.1,7.2,4.2,2.62,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_3_9,Effects on: Technology companies,TRUE,positive,299,126,42.1,57.9,12.7,9.8,11,1.7,3.5,1.33,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_3_9,Effects on: Technology companies,TRUE,positive,299,126,42.1,57.9,11.1,5.8,8,3.1,3.2,2.04,FALSE,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_10,Effects on: The military,TRUE,positive,299,66,22.1,77.9,7.6,7.3,7.4,0.2,3.6,1.04,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_3_10,Effects on: The military,TRUE,positive,299,66,22.1,77.9,25.8,12,15.1,10.7,5.8,2.54,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_3_10,Effects on: The military,TRUE,positive,299,66,22.1,77.9,9.1,11.6,11,-1.9,4,0.76,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_3_10,Effects on: The military,TRUE,positive,299,66,22.1,77.9,10.6,7.3,8,2.6,4.1,1.51,FALSE,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_11,Effects on: The US government,TRUE,positive,299,83,27.8,72.2,8.4,6.9,7.4,1.1,3.4,1.23,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_3_11,Effects on: The US government,TRUE,positive,299,83,27.8,72.2,26.5,10.6,15.1,11.5,5.3,3.03,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_3_11,Effects on: The US government,TRUE,positive,299,83,27.8,72.2,14.5,9.7,11,3.4,4.3,1.57,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_3_11,Effects on: The US government,TRUE,positive,299,83,27.8,72.2,9.6,7.4,8,1.6,3.6,1.33,FALSE,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_12,Effects on: Wealthy individuals,TRUE,positive,299,71,23.7,76.3,7,7.5,7.4,-0.3,3.4,0.94,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_3_12,Effects on: Wealthy individuals,TRUE,positive,299,71,23.7,76.3,21.1,13.2,15.1,6.1,5.3,1.77,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_3_12,Effects on: Wealthy individuals,TRUE,positive,299,71,23.7,76.3,12.7,10.5,11,1.6,4.3,1.23,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_3_12,Effects on: Wealthy individuals,TRUE,positive,299,71,23.7,76.3,11.3,7,8,3.2,4.1,1.68,FALSE,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_13,Effects on: Disadvantaged individuals,TRUE,positive,299,62,20.7,79.3,14.5,5.5,7.4,7.2,4.7,2.93,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_3_13,Effects on: Disadvantaged individuals,TRUE,positive,299,62,20.7,79.3,29,11.4,15.1,14,6.1,3.18,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_3_13,Effects on: Disadvantaged individuals,TRUE,positive,299,62,20.7,79.3,25.8,7.2,11,14.8,5.8,4.5,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_3_13,Effects on: Disadvantaged individuals,TRUE,positive,299,62,20.7,79.3,14.5,6.3,8,6.5,4.7,2.51,FALSE,FALSE
Contact reps to oppose cuts,Research Beliefs,research_4_1,I usually understand academic research findings,TRUE,positive,299,75,25.1,74.9,12,5.8,7.4,4.6,4,2.21,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_4_1,I usually understand academic research findings,TRUE,positive,299,75,25.1,74.9,26.7,11.2,15.1,11.6,5.5,2.89,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_4_1,I usually understand academic research findings,TRUE,positive,299,75,25.1,74.9,21.3,7.6,11,10.3,5.1,3.3,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_4_1,I usually understand academic research findings,TRUE,positive,299,75,25.1,74.9,16,5.4,8,8,4.5,3.37,FALSE,FALSE
Contact reps to oppose cuts,Research Beliefs,research_4_2,I know where to look up academic research,TRUE,positive,299,97,32.4,67.6,10.3,5.9,7.4,3,3.4,1.82,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_4_2,I know where to look up academic research,TRUE,positive,299,97,32.4,67.6,22.7,11.4,15.1,7.6,4.7,2.28,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_4_2,I know where to look up academic research,TRUE,positive,299,97,32.4,67.6,17.5,7.9,11,6.5,4.3,2.47,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_4_2,I know where to look up academic research,TRUE,positive,299,97,32.4,67.6,12.4,5.9,8,4.3,3.7,2.24,FALSE,FALSE
Contact reps to oppose cuts,Research Beliefs,research_4_3,Clear how to apply research findings in my life,TRUE,positive,299,50,16.7,83.3,18,5.2,7.4,10.6,5.6,3.98,FALSE,FALSE
Talk to others about cuts,Research Beliefs,research_4_3,Clear how to apply research findings in my life,TRUE,positive,299,50,16.7,83.3,28,12.4,15.1,12.9,6.7,2.73,FALSE,FALSE
Share info online about cuts,Research Beliefs,research_4_3,Clear how to apply research findings in my life,TRUE,positive,299,50,16.7,83.3,22,8.8,11,11,6.1,2.91,FALSE,FALSE
Contact reps to support funding,Research Beliefs,research_4_3,Clear how to apply research findings in my life,TRUE,positive,299,50,16.7,83.3,24,4.8,8,16,6.2,6.24,FALSE,FALSE
