outcome,block,variable,label,moveable,direction,n_total,n_at_strongest,pct_at_strongest,pct_available,outcome_rate_strongest,outcome_rate_other,outcome_rate_overall,pct_to_gain,ror,ceiling_flag
Contact reps to oppose cuts,Research Beliefs,research_1,Knowledge of university research,TRUE,positive,113,14,12.4,87.6,7.1,8.1,8,-0.8,0.87,FALSE
Talk to others about cuts,Research Beliefs,research_1,Knowledge of university research,TRUE,positive,113,14,12.4,87.6,21.4,10.1,11.5,9.9,2.43,FALSE
Share info online about cuts,Research Beliefs,research_1,Knowledge of university research,TRUE,positive,113,14,12.4,87.6,21.4,14.1,15,6.4,1.66,FALSE
Contact reps to support funding,Research Beliefs,research_1,Knowledge of university research,TRUE,positive,113,14,12.4,87.6,7.1,9.1,8.8,-1.7,0.77,FALSE
Contact reps to oppose cuts,Research Beliefs,research_2,Scientific methods are the best way to find truth,TRUE,positive,113,50,44.2,55.8,10,6.3,8,2,1.64,FALSE
Talk to others about cuts,Research Beliefs,research_2,Scientific methods are the best way to find truth,TRUE,positive,113,50,44.2,55.8,20,4.8,11.5,8.5,5,FALSE
Share info online about cuts,Research Beliefs,research_2,Scientific methods are the best way to find truth,TRUE,positive,113,50,44.2,55.8,20,11.1,15,5,2,FALSE
Contact reps to support funding,Research Beliefs,research_2,Scientific methods are the best way to find truth,TRUE,positive,113,50,44.2,55.8,12,6.3,8.8,3.2,2.01,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_1,Effects on: You personally,TRUE,positive,113,21,18.6,81.4,19,5.4,8,11.1,4.09,FALSE
Talk to others about cuts,Research Beliefs,research_3_1,Effects on: You personally,TRUE,positive,113,21,18.6,81.4,19,9.8,11.5,7.5,2.17,FALSE
Share info online about cuts,Research Beliefs,research_3_1,Effects on: You personally,TRUE,positive,113,21,18.6,81.4,14.3,15.2,15,-0.8,0.93,FALSE
Contact reps to support funding,Research Beliefs,research_3_1,Effects on: You personally,TRUE,positive,113,21,18.6,81.4,23.8,5.4,8.8,15,5.44,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_2,Effects on: People you care about,TRUE,positive,113,28,24.8,75.2,17.9,4.7,8,9.9,4.4,FALSE
Talk to others about cuts,Research Beliefs,research_3_2,Effects on: People you care about,TRUE,positive,113,28,24.8,75.2,28.6,5.9,11.5,17.1,6.4,FALSE
Share info online about cuts,Research Beliefs,research_3_2,Effects on: People you care about,TRUE,positive,113,28,24.8,75.2,35.7,8.2,15,20.7,6.19,FALSE
Contact reps to support funding,Research Beliefs,research_3_2,Effects on: People you care about,TRUE,positive,113,28,24.8,75.2,21.4,4.7,8.8,12.6,5.52,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_3,Effects on: Local community,TRUE,positive,113,28,24.8,75.2,14.3,5.9,8,6.3,2.67,FALSE
Talk to others about cuts,Research Beliefs,research_3_3,Effects on: Local community,TRUE,positive,113,28,24.8,75.2,25,7.1,11.5,13.5,4.39,FALSE
Share info online about cuts,Research Beliefs,research_3_3,Effects on: Local community,TRUE,positive,113,28,24.8,75.2,28.6,10.6,15,13.5,3.38,FALSE
Contact reps to support funding,Research Beliefs,research_3_3,Effects on: Local community,TRUE,positive,113,28,24.8,75.2,17.9,5.9,8.8,9,3.48,FALSE
Contact reps to oppose cuts,Research Beliefs,research_3_4,Effects on: People in the US,TRUE,positive,113,34,30.1,69.9,17.6,3.8,8,9.7,5.43,FALSE
Talk to others about cuts,Research Beliefs,research_3_4,Effects on: People in the US,TRUE,positive,113,34,30.1,69.9,17.6,8.9,11.5,6.1,2.2,FALSE
Share info online about cuts,Research Beliefs,research_3_4,Effects on: People in the US,TRUE,positive,113,34,30.1,69.9,20.6,12.7,15,5.5,1.79,FALSE
