col,label,block,community_id,eigenvector_abs,r_composite,pct_to_gain_Contact reps: oppose cuts,pct_to_gain_Talk to others about cuts,pct_to_gain_Share info online,pct_to_gain_Contact reps: support funding,ror_Contact reps: oppose cuts,ror_Talk to others about cuts,ror_Share info online,ror_Contact reps: support funding
govtfund_9_1,Approve cutting: health research funding,Govt Funding,6,1,-0.089,3,5.2,4.3,1.9,11.08,5.88,8.56,2.54
govtfund_9_2,Approve cutting: education funding,Govt Funding,6,0.9784294461827496,-0.143,2.5,5.6,4.5,1.8,3.73,5.25,6.28,2.19
govtfund_9_3,Approve cutting: science funding,Govt Funding,6,0.891347108782926,-0.174,3.5,7.2,6,1.7,4.88,5.6,8.29,1.79
govtfund_8_2,Tax investment in research: improves health & saves lives,Govt Funding,2,0.82487450030971,0.315,2.3,6.5,4.8,2.7,2.51,4.53,4.43,2.84
govtfund_9_5,Approve cutting: humanities funding,Govt Funding,6,0.7762185894403166,-0.182,4.5,10.9,8.3,4.6,3.56,5.42,5.38,3.25
govtfund_8_6,Tax investment in research: leads to breakthroughs,Govt Funding,2,0.726528060737006,0.232,2.7,6.8,4.6,2.6,3.27,5.34,4.3,2.76
govtfund_8_7,Tax investment in research: benefits people like you,Govt Funding,2,0.6571136006895998,0.287,1.6,8,3.8,4.6,1.51,3.21,2.03,3.25
govtfund_9_4,Approve cutting: arts funding,Govt Funding,6,0.6177842123319003,-0.277,5.5,17.1,14.7,5.8,3.37,8.56,12.86,3.23
univ_5_1,Universities benefit: you personally,University Perceptions,3,0.5983919018827687,0.411,6.1,9.7,7,4.4,3.13,2.68,2.5,2.15
govtfund_8_1,Tax investment in research: boosts economy,Govt Funding,2,0.5982702834654119,0.355,4.9,11.5,8.4,9.3,2.68,3.48,3.23,5.85
climate_3,Trust in climate scientists,Climate,4,0.594864466186038,0.328,8,12,8.8,5.5,6.66,4.3,4,3.12
climate_1,Believes global warming is happening,Climate,4,0.5698169184814992,0.226,0.5,1.1,0.8,0.6,NA,NA,NA,NA
research_3_2,Research impact: people you care about,Research Beliefs,3,0.5627003412288379,0.391,7.8,22.9,19.3,11.7,3.3,6.52,7.39,4.97
govtfund_1,Approval of federal research funding,Govt Funding,4,0.5621897085261349,0.358,1,5.4,3.7,2.2,1.41,2.81,2.6,2.02
govtfund_5_7,Govt funding risk: taxpayer money is wasted,Govt Funding,1,0.5574609801618358,-0.323,4.9,11.3,15.3,4.3,2.13,2.54,4.46,1.86
govtfund_8_4,Tax investment in research: makes US a leader,Govt Funding,2,0.552648413845216,0.2,0.5,7.8,4.7,1.4,1.15,2.9,2.3,1.4
govtfund_7_2,Perceived university priority: advance knowledge & society,Govt Funding,2,0.5522573064084639,0.345,3.6,6.3,6.7,3.6,4.07,3.42,7.09,3.43
research_3_1,Research impact: you personally,Research Beliefs,3,0.5364563074783715,0.37,8.8,14.4,8.1,9.6,3.88,3.45,2.51,3.93
govtfund_8_3,Tax investment in research: drives industry investment,Govt Funding,2,0.5347739867321505,0.294,2.9,7.4,4.9,5.1,1.9,2.37,2.09,2.75
univ_5_2,Universities benefit: people you care about,University Perceptions,3,0.5185054325502884,0.335,4.4,8.5,6.6,6.7,2.08,2.15,2.15,2.68
climate_4_mean,Climate research importance,Climate,4,0.5060607594028641,0.343,7,14.6,7.4,6.3,4.04,4.89,2.81,3.2
climate_2,Believes warming caused by humans,Climate,4,0.48843318828097276,0.235,1.4,3.9,2.6,1.6,3.37,8.14,5.51,3.74
research_4_7,Science creates opportunities for next generation,Research Beliefs,2,0.4882400204720834,0.209,3,3.9,3.6,2.4,3.03,2.03,2.42,2.13
govtfund_8_5,Tax investment in research: protects national security,Govt Funding,2,0.48709416121939253,0.242,1.8,11.3,7.2,4.1,1.45,3.41,2.76,2.17
research_5_composite,Research value (importance × likelihood),Research Beliefs,2,0.4867351266597506,0.301,5.7,17.5,16.3,6.3,2.62,4.88,6.59,2.69
research_3_3,Research impact: local community,Research Beliefs,3,0.4864049783544889,0.334,6,16.7,12.3,7,2.48,3.81,3.54,2.65
govtfund_5_10,Govt funding risk: researchers lie to maintain funding,Govt Funding,1,0.48238727359548417,-0.092,7,17.7,17.6,6.3,2.62,3.71,4.88,2.29
highered_2_1,Trust: private colleges & universities,Higher Education,8,0.48090546933143996,0.255,3.3,12.7,14.5,4.8,1.65,2.64,3.79,1.91
research_4_8,Basic science has value without immediate benefits,Research Beliefs,2,0.4808215936722127,0.137,2.4,6.7,3.3,2.9,2.58,4.68,2.44,2.92
govtfund_2,Govt investment in research is ESSENTIAL,Govt Funding,4,0.48004568735960396,0.213,0.7,1.5,1,0.9,2.13,2.31,2.1,2.36
univ_2_7,Universities contribute: compassion & tolerance,University Perceptions,3,0.4592129576524011,0.383,7.9,16.6,14.3,7.2,3.78,4.65,5.42,3.12
govtfund_7_1,Perceived university priority: making a profit,Govt Funding,7,0.44831670116672495,-0.026,8.5,11.3,-4.3,7.8,2.88,2.32,0.54,2.54
govtfund_5_6,Govt funding risk: money spent on less important things,Govt Funding,1,0.4424890795081286,-0.197,8.9,17.6,12.3,8.3,3.14,3.52,3.08,2.75
