variable,label,block,r,p,se
govtfund_5_7,Govt funding likelihood: Taxpayer money is wasted,Govt Funding,-0.468,0,0.052
govtfund_8_7,Tax investment: ...benefits people like you,Govt Funding,0.454,0,0.052
govtfund_8_2,Tax investment: ...improves health and saves lives,Govt Funding,0.435,0,0.053
univ_5_1,Benefits: You personally,University Perceptions,0.434,0,0.053
univ_5_2,Benefits: People you care about,University Perceptions,0.416,0,0.053
univ_2_7,Univ. contributes to: Increased compassion and tolerance,University Perceptions,0.412,0,0.053
climate_3,Trust in climate scientists,Climate,0.41,0,0.053
research_3_4,Effects on: People in the US,Research Beliefs,0.4,0,0.054
climate_4_4,"Climate research importance: Climate policy, economics, and human impact",Climate,0.399,0,0.054
govtfund_2,Govt investment is ESSENTIAL (vs. private sufficient),Govt Funding,0.396,0,0.055
govtfund_8_4,Tax investment: ...makes America a leader,Govt Funding,0.396,0,0.054
gotvfund_6_4,University research benefits lives in ways hard to see,Govt Funding,0.392,0,0.054
univ_5_7,Benefits: Society as a whole,University Perceptions,0.386,0,0.054
climate_4_1,Climate research importance: Climate science and earth systems,Climate,0.385,0,0.054
govtfund_7_2,Priority: Advance knowledge and benefit society,Govt Funding,0.38,0,0.054
climate_4_2,Climate research importance: Climate mitigation approaches,Climate,0.38,0,0.054
govtfund_8_1,Tax investment: ...boosts the economy,Govt Funding,0.372,0,0.054
gotvfund_6_2,Oversight committees protect against unethical research,Govt Funding,0.362,0,0.055
govtfund_5_6,Govt funding likelihood: Money spent on less important things,Govt Funding,-0.36,0,0.055
govtfund_8_6,Tax investment: ...leads to scientific breakthroughs,Govt Funding,0.359,0,0.055
climate_4_3,Climate research importance: Climate adaptation and resilience,Climate,0.352,0,0.055
univ_5_5,Benefits: Students' families,University Perceptions,0.349,0,0.055
univ_5_6,Benefits: Employers and businesses,University Perceptions,0.34,0,0.055
univ_4_3,Universities apply knowledge-based solutions,University Perceptions,0.339,0,0.055
gotvfund_6_3,Many everyday tools are the result of academic research,Govt Funding,0.338,0,0.055
univ_2_5,Univ. contributes to: US competitive advantage,University Perceptions,0.338,0,0.055
govtfund_3,Knowledge of funding cuts,Govt Funding,0.336,0,0.055
univ_2_4,Univ. contributes to: A more knowledgeable population,University Perceptions,0.332,0,0.055
univ_2_9,Univ. contributes to: Better international relations,University Perceptions,0.332,0,0.055
research_3_2,Effects on: People you care about,Research Beliefs,0.327,0,0.055
highered_3_5,Contribution to science: State colleges and universities,Higher Education,0.324,0,0.057
univ_5_3,Benefits: Local communities,University Perceptions,0.324,0,0.055
univ_2_3,Univ. contributes to: Higher household incomes,University Perceptions,0.323,0,0.055
univ_4_2,Universities apply and connect knowledge,University Perceptions,0.323,0,0.055
research_3_3,Effects on: Local community,Research Beliefs,0.322,0,0.055
research_3_1,Effects on: You personally,Research Beliefs,0.321,0,0.055
highered_2_2,Trust: State public university system,Higher Education,0.319,0,0.055
univ_5_4,Benefits: Students who attend,University Perceptions,0.313,0,0.056
govtfund_5_10,Govt funding likelihood: Researchers lie to maintain funding,Govt Funding,-0.311,0,0.056
univ_4_1,Universities discover new knowledge,University Perceptions,0.309,0,0.056
past_engage_5,Talked to others about cuts to research funding,Past Engagement,0.305,0,0.056
univ_2_8,Univ. contributes to: Overall economic growth,University Perceptions,0.302,0,0.056
univ_2_1,Univ. contributes to: Greater innovation,University Perceptions,0.301,0,0.056
govtfund_8_3,Tax investment: ...drives industry investment,Govt Funding,0.3,0,0.056
univ_2_2,Univ. contributes to: Better jobs and career advancement,University Perceptions,0.299,0,0.056
univ_2_6,Univ. contributes to: More entrepreneurship,University Perceptions,0.299,0,0.056
govtfund_9_3,Approve cuts to: Science funding,Govt Funding,-0.298,0,0.056
govtfund_8_5,Tax investment: ...protects national security,Govt Funding,0.297,0,0.056
climate_1,Believes global warming is happening,Climate,0.297,0,0.059
