Item,variable,r,p
Univ → knowledgeable population,univ_2_4,0.58,6.5288389682289355e-28
Univ → economic growth,univ_2_8,0.55,9.942410459718841e-25
Univ → compassion / tolerance,univ_2_7,0.54,2.9159017963253e-24
Climate research is important,climate_4_1,0.53,1.1661589074899912e-22
Trust in climate scientists,climate_3,0.52,8.368729719638946e-22
Univ → innovation,univ_2_1,0.47,6.1993423434336975e-18
Univ → benefits communities,univ_2_10,0.45,1.295341350877508e-16
Trust: science is best route to truth,research_2,0.37,2.131728674251884e-11
Self-rated research knowledge,research_1,0.36,2.1788132675760015e-10
Education,ses_degree,0.26,7.681291232361162e-6
Subjective SES (ladder),ses_ladder,0.25,1.135781355827845e-5
Age,age,0.08,0.18518649153162656
Ideology (liberal → conservative),politics_ideology,-0.15,0.009455908366367612
