target,Group,Measure,variable,r,p
Overall composite (9 items),Tax-investment payoff,Tax: boosts economy,govtfund_8_1,0.61,9.366290673381666e-32
Overall composite (9 items),Broad benefit / trust,Univ → knowledgeable population,univ_2_4,0.58,4.3360114510266265e-28
Overall composite (9 items),Broad benefit / trust,Univ → economic growth,univ_2_8,0.55,9.919801502707376e-25
Overall composite (9 items),Tax-investment payoff,Tax: improves health / saves lives,govtfund_8_2,0.55,5.497932793203258e-25
Overall composite (9 items),Broad benefit / trust,Univ → compassion / tolerance,univ_2_7,0.54,1.5538509861973772e-24
Overall composite (9 items),Broad benefit / trust,Climate research is important,climate_4_1,0.53,4.867940003176796e-23
Overall composite (9 items),Broad benefit / trust,Trust in climate scientists,climate_3,0.52,7.623388631500614e-22
Overall composite (9 items),Tax-investment payoff,Tax: drives industry investment,govtfund_8_3,0.5,2.262571181932676e-20
Overall composite (9 items),Tax-investment payoff,Tax: makes America a leader,govtfund_8_4,0.5,1.0646650210596921e-20
Overall composite (9 items),Tax-investment payoff,Tax: protects national security,govtfund_8_5,0.5,3.4130197820113184e-20
Overall composite (9 items),Broad benefit / trust,Univ → innovation,univ_2_1,0.48,2.3321804209611055e-18
Overall composite (9 items),Tax-investment payoff,Tax: scientific breakthroughs,govtfund_8_6,0.47,3.2746450922902936e-18
Overall composite (9 items),Broad benefit / trust,Univ → benefits communities,univ_2_10,0.45,1.1872694149312394e-16
Overall composite (9 items),Domain importance,Importance: Better public policy,research_5.1_11,0.41,1.1010555106683936e-13
Overall composite (9 items),Domain payoff,Expected payoff: Space exploration,research_5.2_9,0.39,4.547739870652919e-12
Overall composite (9 items),Domain importance,Importance: Awareness of others' perspectives,research_5.1_13,0.38,7.668388023794782e-12
Overall composite (9 items),Broad benefit / trust,Trust: science is best route to truth,research_2,0.37,5.215487428819379e-11
Overall composite (9 items),Domain importance,Importance: Space exploration,research_5.1_9,0.37,5.7477046909605095e-11
Overall composite (9 items),Domain payoff,Expected payoff: Social science,research_5.2_1,0.37,3.3780807109458315e-11
Overall composite (9 items),Domain payoff,Expected payoff: Education systems,research_5.2_10,0.37,4.906046665104817e-11
Overall composite (9 items),Broad benefit / trust,Self-rated research knowledge,research_1,0.36,2.390379578719983e-10
Overall composite (9 items),Domain importance,Importance: Social science,research_5.1_1,0.36,9.789538909518003e-11
Overall composite (9 items),Domain payoff,Expected payoff: Medicine / cure disease,research_5.2_2,0.36,1.9228029027320127e-10
Overall composite (9 items),Domain payoff,Expected payoff: Better public policy,research_5.2_11,0.36,7.308048514092185e-11
